#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q63921	uniprotkb:P29476	intact:EBI-9986194|uniprotkb:Q62731|uniprotkb:Q63684	intact:EBI-349460|uniprotkb:P70594	psi-mi:pgh1_rat(display_long)|uniprotkb:Ptgs1(gene name)|psi-mi:Ptgs1(display_short)|uniprotkb:Cox-1(gene name synonym)|uniprotkb:Cox1(gene name synonym)|uniprotkb:Cyclooxygenase-1(gene name synonym)|uniprotkb:Prostaglandin H2 synthase 1(gene name synonym)|uniprotkb:Prostaglandin-endoperoxide synthase 1(gene name synonym)	psi-mi:nos1_rat(display_long)|uniprotkb:Nos1(gene name)|psi-mi:Nos1(display_short)|uniprotkb:Bnos(gene name synonym)|uniprotkb:BNOS(gene name synonym)|uniprotkb:NOS type I(gene name synonym)|uniprotkb:Neuronal NOS(gene name synonym)|uniprotkb:Constitutive NOS(gene name synonym)|uniprotkb:NC-NOS(gene name synonym)|uniprotkb:Peptidyl-cysteine S-nitrosylase NOS1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Tanaka et al. (2014)	imex:IM-23317|pubmed:24530741	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	taxid:10116(rat)|taxid:10116("Rattus norvegicus (Rat)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9986192|imex:IM-23317-1	intact-miscore:0.40
uniprotkb:P49841	uniprotkb:Q14449	intact:EBI-373586|uniprotkb:Q9BWH3|uniprotkb:Q9UL47|uniprotkb:D3DN89	intact:EBI-2680889|uniprotkb:B7Z7F9|uniprotkb:Q7Z6I1	psi-mi:gsk3b_human(display_long)|uniprotkb:GSK3B(gene name)|psi-mi:GSK3B(display_short)|uniprotkb:Serine/threonine-protein kinase GSK3B(gene name synonym)	psi-mi:grb14_human(display_long)|uniprotkb:GRB14 adapter protein(gene name synonym)|uniprotkb:GRB14(gene name)|psi-mi:GRB14(display_short)	psi-mi:"MI:0813"(proximity ligation assay)	Taira et al. (2014)	pubmed:24535599|imex:IM-23311	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9984889|imex:IM-23311-1	intact-miscore:0.40
uniprotkb:Q15303	uniprotkb:P04626	intact:EBI-80371|uniprotkb:Q2M1W1|uniprotkb:Q59EW4|uniprotkb:B7ZLE3|uniprotkb:B7ZLD7|uniprotkb:B7ZLE2|dip:DIP-29650N	intact:EBI-641062|uniprotkb:Q14256|uniprotkb:Q6LDV1|uniprotkb:Q9UMK4|uniprotkb:B2RZG3|uniprotkb:B4DHN3|uniprotkb:X5D2V5	psi-mi:erbb4_human(display_long)|uniprotkb:ERBB4(gene name)|psi-mi:ERBB4(display_short)|uniprotkb:HER4(gene name synonym)|uniprotkb:p180erbB4(gene name synonym)|uniprotkb:Proto-oncogene-like protein c-ErbB-4(gene name synonym)|uniprotkb:Tyrosine kinase-type cell surface receptor HER4(gene name synonym)	psi-mi:erbb2_human(display_long)|uniprotkb:p185erbB2(gene name synonym)|uniprotkb:MLN19(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-2(gene name synonym)|uniprotkb:Tyrosine kinase-type cell surface receptor HER2(gene name synonym)|uniprotkb:Proto-oncogene Neu(gene name synonym)|uniprotkb:ERBB2(gene name)|psi-mi:ERBB2(display_short)|uniprotkb:HER2(gene name synonym)|uniprotkb:NEU(gene name synonym)|uniprotkb:NGL(gene name synonym)|uniprotkb:Metastatic lymph node gene 19 protein(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Barros et al. (2014)	imex:IM-23319|pubmed:24557338	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9990089|imex:IM-23319-3	intact-miscore:0.78
uniprotkb:P04626	uniprotkb:P00533	intact:EBI-641062|uniprotkb:Q14256|uniprotkb:Q6LDV1|uniprotkb:Q9UMK4|uniprotkb:B2RZG3|uniprotkb:B4DHN3|uniprotkb:X5D2V5	intact:EBI-297353|uniprotkb:Q9BZS2|uniprotkb:Q9GZX1|uniprotkb:Q9H2C9|uniprotkb:Q9H3C9|uniprotkb:Q9UMD7|uniprotkb:Q9UMD8|uniprotkb:Q9UMG5|uniprotkb:O00688|uniprotkb:O00732|uniprotkb:P06268|uniprotkb:Q14225|uniprotkb:Q92795|uniprotkb:Q68GS5|dip:DIP-405N	psi-mi:erbb2_human(display_long)|uniprotkb:p185erbB2(gene name synonym)|uniprotkb:MLN19(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-2(gene name synonym)|uniprotkb:Tyrosine kinase-type cell surface receptor HER2(gene name synonym)|uniprotkb:Proto-oncogene Neu(gene name synonym)|uniprotkb:ERBB2(gene name)|psi-mi:ERBB2(display_short)|uniprotkb:HER2(gene name synonym)|uniprotkb:NEU(gene name synonym)|uniprotkb:NGL(gene name synonym)|uniprotkb:Metastatic lymph node gene 19 protein(gene name synonym)	psi-mi:egfr_human(display_long)|uniprotkb:ERBB1(gene name synonym)|uniprotkb:EGFR(gene name)|psi-mi:EGFR(display_short)|uniprotkb:Receptor tyrosine-protein kinase erbB-1(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-1(gene name synonym)|uniprotkb:ERBB(gene name synonym)|uniprotkb:HER1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Barros et al. (2014)	imex:IM-23319|pubmed:24557338	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9990081|imex:IM-23319-1	intact-miscore:0.96
uniprotkb:P08962	uniprotkb:P04578-PRO_0000038428	intact:EBI-762053|uniprotkb:Q5TZP3|uniprotkb:Q9UCG6|uniprotkb:F8VZE2|uniprotkb:Q8N6Z9	intact:EBI-6179711	psi-mi:cd63_human(display_long)|uniprotkb:Melanoma-associated antigen ME491(gene name synonym)|uniprotkb:Ocular melanoma-associated antigen(gene name synonym)|uniprotkb:OMA81H(gene name synonym)|uniprotkb:Granulophysin(gene name synonym)|uniprotkb:Tetraspanin-30(gene name synonym)|uniprotkb:Lysosomal-associated membrane protein 3(gene name synonym)|uniprotkb:CD63(gene name)|psi-mi:CD63(display_short)|uniprotkb:MLA1(gene name synonym)|uniprotkb:TSPAN30(gene name synonym)	psi-mi:p04578-pro_0000038428(display_long)|uniprotkb:env(gene name)|psi-mi:env(display_short)|uniprotkb:Env polyprotein(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Ivanusic et al. (2014)	pubmed:25312088|imex:IM-23669	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11706(hv1h2)|taxid:11706("Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10095225|imex:IM-23669-4	intact-miscore:0.58
uniprotkb:P08962	uniprotkb:P04578-PRO_0000038428	intact:EBI-762053|uniprotkb:Q5TZP3|uniprotkb:Q9UCG6|uniprotkb:F8VZE2|uniprotkb:Q8N6Z9	intact:EBI-6179711	psi-mi:cd63_human(display_long)|uniprotkb:Melanoma-associated antigen ME491(gene name synonym)|uniprotkb:Ocular melanoma-associated antigen(gene name synonym)|uniprotkb:OMA81H(gene name synonym)|uniprotkb:Granulophysin(gene name synonym)|uniprotkb:Tetraspanin-30(gene name synonym)|uniprotkb:Lysosomal-associated membrane protein 3(gene name synonym)|uniprotkb:CD63(gene name)|psi-mi:CD63(display_short)|uniprotkb:MLA1(gene name synonym)|uniprotkb:TSPAN30(gene name synonym)	psi-mi:p04578-pro_0000038428(display_long)|uniprotkb:env(gene name)|psi-mi:env(display_short)|uniprotkb:Env polyprotein(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Ivanusic et al. (2014)	pubmed:25312088|imex:IM-23669	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:11706(hv1h2)|taxid:11706("Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10053146|imex:IM-23669-2	intact-miscore:0.58
uniprotkb:P35546-2	uniprotkb:Q60629	intact:EBI-5548911	intact:EBI-1267609|uniprotkb:E9QPV2	psi-mi:p35546-2(display_long)|uniprotkb:Ret9(isoform synonym)|uniprotkb:Ret(gene name)|psi-mi:Ret(display_short)|uniprotkb:Proto-oncogene c-Ret(gene name synonym)	psi-mi:epha5_mouse(display_long)|uniprotkb:Epha5(gene name)|psi-mi:Epha5(display_short)|uniprotkb:Bsk(gene name synonym)|uniprotkb:Ehk1(gene name synonym)|uniprotkb:EPH homology kinase 1(gene name synonym)|uniprotkb:Brain-specific kinase(gene name synonym)|uniprotkb:CEK-7(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Bonanomi et al. (2012)	pubmed:22304922|imex:IM-17021	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6095855|imex:IM-17021-7	intact-miscore:0.60
uniprotkb:A2AGH6	uniprotkb:P37173	intact:EBI-5744969|uniprotkb:A2AGH7|uniprotkb:O88542|uniprotkb:Q571H3|uniprotkb:Q6PGB4|uniprotkb:Q6PGD8	intact:EBI-296151|uniprotkb:Q15580|uniprotkb:Q6DKT6|uniprotkb:Q99474|uniprotkb:B4DTV5	psi-mi:med12_mouse(display_long)|uniprotkb:Med12(gene name)|psi-mi:Med12(display_short)|uniprotkb:Kiaa0192(gene name synonym)|uniprotkb:Mopa(gene name synonym)|uniprotkb:Tnrc11(gene name synonym)|uniprotkb:Trap230(gene name synonym)|uniprotkb:Mediator complex subunit 12(gene name synonym)|uniprotkb:OPA-containing protein(gene name synonym)|uniprotkb:Thyroid hormone receptor-associated protein complex 230 kDa component(gene name synonym)|uniprotkb:Trinucleotide repeat-containing gene 11 protein(gene name synonym)	psi-mi:tgfr2_human(display_long)|uniprotkb:TGFBR2(gene name)|psi-mi:TGFBR2(display_short)|uniprotkb:Transforming growth factor-beta receptor type II(gene name synonym)|uniprotkb:TGF-beta type II receptor(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Huang et al. (2012)	imex:IM-18699|pubmed:23178117	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6553625|imex:IM-18699-4	intact-miscore:0.52
uniprotkb:Q00987	uniprotkb:P31749	intact:EBI-389668|uniprotkb:A6NL51|uniprotkb:Q13226|uniprotkb:Q13297|uniprotkb:Q13298|uniprotkb:Q13299|uniprotkb:Q13300|uniprotkb:Q13301|uniprotkb:Q53XW0|uniprotkb:Q71TW9|uniprotkb:Q8WYJ1|uniprotkb:Q8WYJ2|uniprotkb:Q9UGI3|uniprotkb:Q9UMT8|uniprotkb:A8K2S6|dip:DIP-392N	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	psi-mi:mdm2_human(display_long)|uniprotkb:MDM2(gene name)|psi-mi:MDM2(display_short)|uniprotkb:p53-binding protein Mdm2(gene name synonym)|uniprotkb:Oncoprotein Mdm2(gene name synonym)|uniprotkb:Double minute 2 protein(gene name synonym)|uniprotkb:RING-type E3 ubiquitin transferase Mdm2(gene name synonym)	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599653|imex:IM-18729-1	intact-miscore:0.83
uniprotkb:Q16539	uniprotkb:P31749	intact:EBI-73946|uniprotkb:A8K6P4|uniprotkb:B0LPH0|uniprotkb:A6ZJ92|uniprotkb:O60776|uniprotkb:Q13083|uniprotkb:Q14084|uniprotkb:Q8TDX0|uniprotkb:B5TY32	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	psi-mi:mk14_human(display_long)|uniprotkb:Mitogen-activated protein kinase p38 alpha(gene name synonym)|uniprotkb:Cytokine suppressive anti-inflammatory drug-binding protein(gene name synonym)|uniprotkb:MAX-interacting protein 2(gene name synonym)|uniprotkb:MAP kinase MXI2(gene name synonym)|uniprotkb:SAPK2A(gene name synonym)|uniprotkb:MAPK14(gene name)|psi-mi:MAPK14(display_short)|uniprotkb:CSBP(gene name synonym)|uniprotkb:CSBP1(gene name synonym)|uniprotkb:CSBP2(gene name synonym)|uniprotkb:CSPB1(gene name synonym)|uniprotkb:MXI2(gene name synonym)|uniprotkb:Stress-activated protein kinase 2a(gene name synonym)	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6675132|imex:IM-18729-97	intact-miscore:0.40
uniprotkb:P31749	uniprotkb:Q13485	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	intact:EBI-347263|uniprotkb:A8K405	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:smad4_human(display_long)|uniprotkb:SMAD4(gene name)|psi-mi:SMAD4(display_short)|uniprotkb:DPC4(gene name synonym)|uniprotkb:MADH4(gene name synonym)|uniprotkb:SMAD family member 4(gene name synonym)|uniprotkb:Deletion target in pancreatic carcinoma 4(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599680|imex:IM-18729-4	intact-miscore:0.40
uniprotkb:P29474	uniprotkb:P31749	intact:EBI-1391623|uniprotkb:A0S0A7|uniprotkb:E9PFR2|uniprotkb:Q13662|uniprotkb:Q14251|uniprotkb:Q14434|uniprotkb:Q6GSL5|uniprotkb:A8KA63|uniprotkb:B2RCQ1|uniprotkb:Q548C1|uniprotkb:Q9UDC6|uniprotkb:A0S0A8	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	psi-mi:nos3_human(display_long)|uniprotkb:Endothelial NOS(gene name synonym)|uniprotkb:EC-NOS(gene name synonym)|uniprotkb:NOS type III(gene name synonym)|uniprotkb:Constitutive NOS(gene name synonym)|uniprotkb:NOS3(gene name)|psi-mi:NOS3(display_short)	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599662|imex:IM-18729-2	intact-miscore:0.59
uniprotkb:P31749	uniprotkb:Q13153	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	intact:EBI-1307|uniprotkb:O75561|uniprotkb:Q13567|uniprotkb:Q32M53|uniprotkb:Q32M54|uniprotkb:Q86W79	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:pak1_human(display_long)|uniprotkb:PAK1(gene name)|psi-mi:PAK1(display_short)|uniprotkb:p21-activated kinase 1(gene name synonym)|uniprotkb:p65-PAK(gene name synonym)|uniprotkb:Alpha-PAK(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599671|imex:IM-18729-3	intact-miscore:0.40
uniprotkb:Q92934	uniprotkb:P45983	intact:EBI-700771|uniprotkb:O14803|uniprotkb:Q6FH21	intact:EBI-286483|uniprotkb:Q15709|uniprotkb:Q15712|uniprotkb:Q15713|uniprotkb:B7ZLV4|uniprotkb:B5BTZ5|uniprotkb:Q308M2|uniprotkb:D3DX88|uniprotkb:D3DX92	psi-mi:bad_human(display_long)|uniprotkb:Bcl-2-binding component 6(gene name synonym)|uniprotkb:Bcl-2-like protein 8(gene name synonym)|uniprotkb:BAD(gene name)|psi-mi:BAD(display_short)|uniprotkb:BBC6(gene name synonym)|uniprotkb:BCL2L8(gene name synonym)|uniprotkb:Bcl-xL/Bcl-2-associated death promoter(gene name synonym)|uniprotkb:Bcl2 antagonist of cell death(gene name synonym)	psi-mi:mk08_human(display_long)|uniprotkb:MAPK8(gene name)|psi-mi:MAPK8(display_short)|uniprotkb:JNK1(gene name synonym)|uniprotkb:PRKM8(gene name synonym)|uniprotkb:Stress-activated protein kinase JNK1(gene name synonym)|uniprotkb:c-Jun N-terminal kinase 1(gene name synonym)|uniprotkb:JNK-46(gene name synonym)|uniprotkb:SAPK1(gene name synonym)|uniprotkb:Stress-activated protein kinase 1c(gene name synonym)|uniprotkb:SAPK1C(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599689|imex:IM-18729-5	intact-miscore:0.40
uniprotkb:P14635	uniprotkb:Q99640	intact:EBI-495332|uniprotkb:A8K066|uniprotkb:Q5TZP9	intact:EBI-495308|uniprotkb:O14731|uniprotkb:Q7LE24|uniprotkb:Q8TCM9|uniprotkb:B3KUN8|uniprotkb:B4DXD4|uniprotkb:I3L1V2|intact:EBI-10963121|uniprotkb:D3DUA4|uniprotkb:F8W164	psi-mi:ccnb1_human(display_long)|uniprotkb:CCNB1(gene name)|psi-mi:CCNB1(display_short)|uniprotkb:CCNB(gene name synonym)	psi-mi:pmyt1_human(display_long)|uniprotkb:Myt1 kinase(gene name synonym)|uniprotkb:PKMYT1(gene name)|psi-mi:PKMYT1(display_short)|uniprotkb:MYT1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599698|imex:IM-18729-6	intact-miscore:0.73
uniprotkb:P46109	uniprotkb:Q05397	intact:EBI-910|uniprotkb:A8KA44|intact:EBI-3451075|uniprotkb:D3DX35	intact:EBI-702142|uniprotkb:Q14291|uniprotkb:Q9UD85|intact:EBI-11047590|uniprotkb:J3QT16|uniprotkb:Q8IYN9|uniprotkb:B4E2N6|uniprotkb:F5H4S4	psi-mi:crkl_human(display_long)|uniprotkb:CRKL(gene name)|psi-mi:CRKL(display_short)	psi-mi:fak1_human(display_long)|uniprotkb:PTK2(gene name)|psi-mi:PTK2(display_short)|uniprotkb:FAK(gene name synonym)|uniprotkb:FAK1(gene name synonym)|uniprotkb:pp125FAK(gene name synonym)|uniprotkb:Protein-tyrosine kinase 2(gene name synonym)|uniprotkb:Focal adhesion kinase-related nonkinase(gene name synonym)|uniprotkb:Protein phosphatase 1 regulatory subunit 71(gene name synonym)|uniprotkb:p125FAK(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599743|imex:IM-18729-11	intact-miscore:0.40
uniprotkb:P46108	uniprotkb:P17948	intact:EBI-886|uniprotkb:B0LPE8|uniprotkb:Q96HJ0|intact:EBI-16429791|uniprotkb:A8MWE8|uniprotkb:Q96GA9|uniprotkb:D3DTH6	intact:EBI-1026718|uniprotkb:B0LPF1|uniprotkb:B3FR89|uniprotkb:B5A923|uniprotkb:O60722|uniprotkb:P16057|uniprotkb:Q12954|uniprotkb:A8KA71|uniprotkb:B2BF48|uniprotkb:A3E342|uniprotkb:A3E344|uniprotkb:B2BF46|uniprotkb:B2BF47|uniprotkb:F5H5L6	psi-mi:crk_human(display_long)|uniprotkb:CRK(gene name)|psi-mi:CRK(display_short)|uniprotkb:p38(gene name synonym)|uniprotkb:Proto-oncogene c-Crk(gene name synonym)	psi-mi:vgfr1_human(display_long)|uniprotkb:Vascular permeability factor receptor(gene name synonym)|uniprotkb:Tyrosine-protein kinase receptor FLT(gene name synonym)|uniprotkb:Tyrosine-protein kinase FRT(gene name synonym)|uniprotkb:Fms-like tyrosine kinase 1(gene name synonym)|uniprotkb:FLT1(gene name)|psi-mi:FLT1(display_short)|uniprotkb:FLT(gene name synonym)|uniprotkb:FRT(gene name synonym)|uniprotkb:VEGFR1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599716|imex:IM-18729-8	intact-miscore:0.40
uniprotkb:P35968	uniprotkb:P46108	intact:EBI-1005487|uniprotkb:A2RRS0|uniprotkb:B5A925|uniprotkb:C5IFA0|uniprotkb:O60723|uniprotkb:Q14178	intact:EBI-886|uniprotkb:B0LPE8|uniprotkb:Q96HJ0|intact:EBI-16429791|uniprotkb:A8MWE8|uniprotkb:Q96GA9|uniprotkb:D3DTH6	psi-mi:vgfr2_human(display_long)|uniprotkb:Kinase insert domain receptor(gene name synonym)|uniprotkb:Protein-tyrosine kinase receptor flk-1(gene name synonym)|uniprotkb:KDR(gene name)|psi-mi:KDR(display_short)|uniprotkb:FLK1(gene name synonym)|uniprotkb:Fetal liver kinase 1(gene name synonym)|uniprotkb:VEGFR2(gene name synonym)	psi-mi:crk_human(display_long)|uniprotkb:CRK(gene name)|psi-mi:CRK(display_short)|uniprotkb:p38(gene name synonym)|uniprotkb:Proto-oncogene c-Crk(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599725|imex:IM-18729-9	intact-miscore:0.40
uniprotkb:P46109	uniprotkb:Q07889	intact:EBI-910|uniprotkb:A8KA44|intact:EBI-3451075|uniprotkb:D3DX35	intact:EBI-297487|uniprotkb:A8K2G3|uniprotkb:B4DXG2	psi-mi:crkl_human(display_long)|uniprotkb:CRKL(gene name)|psi-mi:CRKL(display_short)	psi-mi:sos1_human(display_long)|uniprotkb:SOS1(gene name)|psi-mi:SOS1(display_short)	psi-mi:"MI:0813"(proximity ligation assay)	Liu et al. (2013)	pubmed:23397142|imex:IM-18729|psi-mi:"MI:0813"	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6599752|imex:IM-18729-12	intact-miscore:0.40
